urls,event_id,shape
http://www.mufoncms.com/files_jeud8334j/82619_submitter_file1__AvistamentoUfoTerraodeCasaItu12032017s445damanh01.jpg,82619,Egg
http://www.mufoncms.com/files_jeud8334j/82618_submitter_file1__Screenshot20161016090905.jpg,82618,Cylinder
http://www.mufoncms.com/files_jeud8334j/82617_submitter_file1__20170304174559.jpg,82617,Saturn-like
http://www.mufoncms.com/files_jeud8334j/82615_submitter_file1__DSC0098.JPG,82615,Circle
http://www.mufoncms.com/files_jeud8334j/82610_submitter_file1__IMG0341.JPG,82610,Disc
http://www.mufoncms.com/files_jeud8334j/82604_submitter_file3__20170227192007.jpg,82604,Triangle
http://www.mufoncms.com/files_jeud8334j/35588_submitter_file1__FEB9BIGUFOS2.jpg,35588,Disc
http://www.mufoncms.com/files_jeud8334j/35581_submitter_file1__IMG_5078.JPG,35581,Circle
http://www.mufoncms.com/files_jeud8334j/35580_submitter_file1__20120110213644(3).jpg,35580,Unknown
http://www.mufoncms.com/files_jeud8334j/35579_submitter_file1__feb7050.JPG,35579,Unknown
http://www.mufoncms.com/files_jeud8334j/35578_submitter_file1__IMG_20120207_203858.jpg,35578,Diamond
http://www.mufoncms.com/files_jeud8334j/35575_submitter_file1__IMG_2405.jpg,35575,Fireball
http://www.mufoncms.com/files_jeud8334j/35563_submitter_file1__copia.jpg,35563,Triangle
http://www.mufoncms.com/files_jeud8334j/70548_submitter_file1__WP20150721008.jpg,70548,Sphere
http://www.mufoncms.com/files_jeud8334j/34784_submitter_file1__100_3632.JPG,34784,Teardrop
http://www.mufoncms.com/files_jeud8334j/34779_submitter_file1__DSC_1437.JPG,34779,Cone
http://www.mufoncms.com/files_jeud8334j/34777_submitter_file1__uforightsideofVaporTrail.jpg,34777,Circle
http://www.mufoncms.com/files_jeud8334j/34773_submitter_file1__IMG_1275z300al.jpg,34773,Sphere
http://www.mufoncms.com/files_jeud8334j/34765_submitter_file1__VE4.JPG,34765,Oval
http://www.mufoncms.com/files_jeud8334j/46777_submitter_file1__002.JPG,46777,Disc
http://www.mufoncms.com/files_jeud8334j/46770_submitter_file1__DSC00052.JPG,46770,Boomerang
http://www.mufoncms.com/files_jeud8334j/46756_submitter_file1__069.JPG,46756,Star-like
http://www.mufoncms.com/files_jeud8334j/46749_submitter_file1__IMG9874.JPG,46749,Flash
http://www.mufoncms.com/files_jeud8334j/33563_submitter_file1__UFO-Nice.jpg,33563,Disc
http://www.mufoncms.com/files_jeud8334j/33557_submitter_file1__Objeto1.JPG,33557,Disc
http://www.mufoncms.com/files_jeud8334j/33556_submitter_file1__Objeto1.JPG,33556,Disc
http://www.mufoncms.com/files_jeud8334j/33545_submitter_file1__DSC_1669.JPG,33545,Star-like
http://www.mufoncms.com/files_jeud8334j/81998_submitter_file1__Image1.jpg,81998,Sphere
http://www.mufoncms.com/files_jeud8334j/81996_submitter_file1__DSCN0409.JPG,81996,Sphere
http://www.mufoncms.com/files_jeud8334j/81995_submitter_file3__image.jpg,81995,Cylinder
http://www.mufoncms.com/files_jeud8334j/81994_submitter_file1__UFOOriginalphoto.jpg,81994,Disc
http://www.mufoncms.com/files_jeud8334j/81981_submitter_file1__20161115215304.jpg,81981,Sphere
http://www.mufoncms.com/files_jeud8334j/90527_submitter_file1__1029111430.jpg,90527,Other
http://www.mufoncms.com/files_jeud8334j/90526_submitter_file1__1029111430.jpg,90526,Other
http://www.mufoncms.com/files_jeud8334j/90525_submitter_file1__1029111430.jpg,90525,Other
http://www.mufoncms.com/files_jeud8334j/90524_submitter_file1__20180302214326.jpg,90524,Sphere
http://www.mufoncms.com/files_jeud8334j/90513_submitter_file1__FBIMG1519997081075.jpg,90513,Sphere
http://www.mufoncms.com/files_jeud8334j/90511_submitter_file1__F7EC3EEEE42C4C4AA20C3B30CAB65964.jpeg,90511,Disc
http://www.mufoncms.com/files_jeud8334j/90507_submitter_file1__DSC02398.JPG,90507,Fireball
http://www.mufoncms.com/files_jeud8334j/90505_submitter_file1__ufo1.jpg,90505,Other
http://www.mufoncms.com/files_jeud8334j/90504_submitter_file1__UFOOriginal21818.jpeg,90504,Disc
http://www.mufoncms.com/files_jeud8334j/90503_submitter_file2__IMG84841.JPG,90503,Cigar
http://www.mufoncms.com/files_jeud8334j/90502_submitter_file1__281519753242966.jpeg,90502,Unknown
http://www.mufoncms.com/files_jeud8334j/90496_submitter_file1__IMG9226.PNG,90496,Other
http://www.mufoncms.com/files_jeud8334j/78225_submitter_file1__image.jpeg,78225,Cigar
http://www.mufoncms.com/files_jeud8334j/78224_submitter_file1__image.jpeg,78224,Unknown
http://www.mufoncms.com/files_jeud8334j/78219_submitter_file1__IMG2016080221374001.jpg,78219,Sphere
http://www.mufoncms.com/files_jeud8334j/78213_submitter_file1__20160805030044LC40.jpg,78213,Unknown
http://www.mufoncms.com/files_jeud8334j/78212_submitter_file1__20160805030044LC40.jpg,78212,Unknown
http://www.mufoncms.com/files_jeud8334j/78209_submitter_file1__20160805030044LC40.jpg,78209,Unknown
http://www.mufoncms.com/files_jeud8334j/78206_submitter_file1__20160805030044LC40.jpg,78206,Unknown
