,reported_on,sighted_on,description,duration,municipality,state,country,latitude,longitude,shape,url,caption,object
63512,2015-02-23 03:46:00,2015-02-21 20:30:00,Viewing Distance Over One Mile,0 days 00:00:15.000000000,,,,,,,,,
63513,2015-02-23 05:51:00,2015-02-23 02:34:00,Viewing Distance Over One Mile,,,,,,,,,,
63514,2015-02-23 06:11:00,1953-08-31 23:01:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
63515,2015-02-23 06:42:00,2015-02-23 02:57:00,Viewing Distance Over One Mile,,,,,,,,,,
63516,2015-02-23 10:28:00,2015-02-23 03:16:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
63517,2015-02-23 11:42:00,2007-09-30 06:00:00,Viewing Distance Unknown,,,,,,,,,,
63518,2015-02-23 12:44:00,2015-02-22 08:00:00,Viewing Distance N/A,,,,,,,,,,
63519,2015-02-23 13:52:00,2015-01-08 01:00:00,Viewing Distance 21-100 Feet,0 days 00:00:20.000000000,,,,,,,,,
63520,2015-02-23 17:45:00,2015-02-23 02:30:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
63521,2015-02-23 18:24:00,2014-05-18 06:00:00,"Viewing Distance 20 Feet or Less, 101-500 Feet",,,,,,,,,,
63522,2015-02-23 18:44:00,2014-10-19 04:00:00,Viewing Distance Over One Mile,,,,,,,,,,
63523,2015-02-23 18:56:00,2014-10-19 04:00:00,Viewing Distance Over One Mile,,,,,,,,,,
63524,2015-02-23 19:03:00,2014-10-19 04:00:00,Viewing Distance Over One Mile,,,,,,,,,,
63525,2015-02-23 19:28:00,2015-02-21 08:00:00,Viewing Distance 101-500 Feet,,,,,,,,,,
63526,2015-02-23 19:32:00,2015-02-19 04:15:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:10:00.000000000,,,,,,,,,
63527,2015-02-23 20:57:00,2015-01-01 08:00:00,Viewing Distance Unknown,,,,,,,,,,
63528,2015-02-23 21:44:00,2015-02-13 00:54:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:01:10.000000000,,,,,,,,,
63529,2015-02-23 22:02:00,1977-12-31 08:00:00,Viewing Distance 101-500 Feet,,,,,,,,,,
63530,2015-02-23 22:10:00,2015-02-22 00:40:00,Viewing Distance 101-500 Feet,,,,,,,,,,
63531,2015-02-23 23:40:00,1987-05-01 07:00:00,Viewing Distance 101-500 Feet,,,,,,,,,,
63532,2015-02-23 23:44:00,2015-02-21 03:05:00,Viewing Distance Over One Mile,,,,,,,,,,
63533,2015-02-24 00:11:00,2015-02-23 02:12:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
63534,2015-02-24 00:32:00,2004-07-12 07:00:00,Viewing Distance Over One Mile,,,,,,,,,,
63535,2015-02-24 00:50:00,1992-01-01 10:30:00,Viewing Distance 21-100 Feet,0 days 04:00:00.000000000,,,,,,,,,
63536,2015-02-24 03:42:00,2013-08-16 07:00:00,"Viewing Distance 501 Feet - 1 Mile, Unknown",,,,,,,,,,
63537,2015-02-24 03:55:00,2015-02-22 10:00:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:03:03.000000000,,,,,,,,,
63538,2015-02-24 04:23:00,1974-07-17 05:00:00,Viewing Distance 501 Feet - 1 Mile,0 days 01:00:00.000000000,,,,,,,,,
63539,2015-02-24 04:56:00,2015-02-24 02:15:00,Viewing Distance Over One Mile,0 days 00:45:00.000000000,,,,,,,,,
63540,2015-02-24 06:05:00,1964-07-16 03:10:00,Viewing Distance Unknown,0 days 00:04:00.000000000,,,,,,,,,
63541,2015-02-24 06:40:00,2015-02-23 19:00:00,Viewing Distance Over One Mile,0 days 00:05:00.000000000,,,,,,,,,
63542,2015-02-24 06:51:00,2015-02-24 04:45:00,Viewing Distance Unknown,,,,,,,,,,
63543,2015-02-24 09:27:00,2015-02-24 06:53:00,Viewing Distance Unknown,,,,,,,,,,
63544,2015-02-24 10:04:00,2015-02-24 06:50:00,Viewing Distance Unknown,0 days 00:07:30.000000000,,,,,,,,,
63545,2015-02-24 10:13:00,2015-02-24 07:01:00,Viewing Distance 101-500 Feet,,,,,,,,,,
63546,2015-02-24 11:20:00,1988-10-29 03:00:00,"Viewing Distance 20 Feet or Less, 501 Feet - 1 Mile, Over 1 Mile, Unknown",,,,,,,,,,
63547,2015-02-24 11:38:00,2015-02-24 06:00:00,Viewing Distance Over One Mile,0 days 00:01:00.000000000,,,,,,,,,
63549,2015-02-24 18:38:00,2015-02-23 09:02:00,Viewing Distance Over One Mile,0 days 00:00:56.000000000,,,,,,,,,
63551,2015-02-24 19:21:00,2015-02-23 08:00:00,Viewing Distance Unknown,,,,,,,,,,
63552,2015-02-24 19:52:00,2015-02-24 07:30:00,"Viewing Distance 501 Feet - 1 Mile, Over 1 Mile",,,,,,,,,,
63553,2015-02-24 20:15:00,2015-02-23 03:42:00,"Viewing Distance Over 1 Mile, Unknown",0 days 00:00:10.000000000,,,,,,,,,
63555,2015-02-24 20:23:00,2015-02-23 09:00:00,Viewing Distance Unknown,0 days 05:00:00.000000000,,,,,,,,,
63556,2015-02-24 20:25:00,2015-02-18 08:00:00,Viewing Distance Unknown,,,,,,,,,,
63557,2015-02-24 21:32:00,2003-02-16 19:01:00,Viewing Distance Unknown,,,,,,,,,,
63558,2015-02-25 00:20:00,2015-02-23 03:00:00,Viewing Distance Unknown,,,,,,,,,,
63559,2015-02-25 01:25:00,1997-03-13 05:26:00,Viewing Distance Over One Mile,,,,,,,,,,
63560,2015-02-25 02:03:00,2015-02-25 00:35:00,Viewing Distance Unknown,0 days 00:02:10.000000000,,,,,,,,,
63561,2015-02-25 02:38:00,2015-02-01 03:30:00,Viewing Distance 21-100 Feet,0 days 00:01:00.000000000,,,,,,,,,
63562,2015-02-25 03:40:00,2015-02-25 02:55:00,Viewing Distance Over One Mile,,,,,,,,,,
63563,2015-02-25 04:03:00,2015-02-18 03:30:00,Viewing Distance Unknown,,,,,,,,,,
63564,2015-02-25 04:34:00,1971-06-19 05:17:00,Viewing Distance 101-500 Feet,0 days 01:02:00.000000000,,,,,,,,,
63565,2015-02-25 05:05:00,2015-02-25 03:30:00,Viewing Distance Unknown,,,,,,,,,,
63566,2015-02-25 06:07:00,2015-01-19 03:20:00,Viewing Distance 21-100 Feet,0 days 00:00:30.000000000,,,,,,,,,
63567,2015-02-25 07:10:00,1982-01-15 15:00:00,Viewing Distance 21-100 Feet,0 days 00:15:00.000000000,,,,,,,,,
63568,2015-02-25 07:58:00,2015-02-25 04:15:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
63569,2015-02-25 11:58:00,2011-05-17 00:08:00,Viewing Distance 101-500 Feet,0 days 00:02:01.000000000,,,,,,,,,
63570,2015-02-25 14:51:00,2015-02-24 21:30:00,Viewing Distance Unknown,,,,,,,,,,
63571,2015-02-25 15:15:00,2015-02-25 14:45:00,Viewing Distance Over One Mile,,,,,,,,,,
63572,2015-02-25 16:02:00,2015-02-25 12:00:00,Viewing Distance Unknown,,,,,,,,,,
63573,2015-02-25 16:59:00,2015-02-24 09:30:00,"Viewing Distance 20 Feet or Less, 21-100 Feet, Unknown",,,,,,,,,,
63574,2015-02-25 18:03:00,2015-02-25 06:36:00,"Viewing Distance 101-500 Feet, 501 Feet - 1 Mile",,,,,,,,,,
63575,2015-02-25 17:49:00,2015-02-25 13:30:00,Viewing Distance N/A,0 days 01:23:00.000000000,,,,,,,,,
63577,2015-02-25 20:24:00,2014-10-17 14:30:00,Viewing Distance Unknown,0 days 00:10:00.000000000,,,,,,,,,
63578,2015-02-25 20:24:00,2014-10-17 14:30:00,Viewing Distance Unknown,0 days 00:10:00.000000000,,,,,,,,,
72000,2015-10-30 03:47:00,2015-10-30 06:42:00,Viewing Distance N/A,, Catania,, Italy, 37.51078, 15.09033,,,,
72001,2015-10-30 06:21:00,2015-10-30 05:55:00,Viewing Distance Unknown,, Adrian,, United States, 41.88350, -84.07448,,,,
72004,2015-10-30 13:13:00,2015-10-01 01:00:00,Viewing Distance 20 Feet or Less,, California,, 36.78123, -119.40924,,,,,
72005,2015-10-30 13:34:00,2015-09-15 13:04:00,Viewing Distance 101-500 Feet,, MÃ¡laga,, Spain, 36.72126, -4.42127,,,,
72006,2015-10-30 14:29:00,2015-10-30 22:00:00,Viewing Distance Over One Mile,0 days 02:00:00.000000000, Chino,, United States, 34.01466, -117.70785, Sphere,,,
72007,2015-10-30 14:36:00,2015-10-30 03:30:00,Viewing Distance N/A,, Comfort,, United States, 29.96772, -98.90503,,,,
72008,2015-10-30 17:04:00,2015-10-29 22:45:00,Viewing Distance 101-500 Feet,, Aberdeen,, United States, 39.50009, -76.15498,,,,
72009,2015-10-30 17:59:00,2015-10-19 00:00:00,Viewing Distance 501 Feet - 1 Mile,, Hvar,,,,,,,,
72010,2015-10-30 18:25:00,2015-10-30 08:00:00,Viewing Distance N/A,, Surfside beach,, United States, 33.64839, -78.97721,,['http://www.mufoncms.com/files_jeud8334j/72010_submitter_file1__DSC06334.JPG'],['a kite flying in the sky over a city .'],['a kite flying in the sky over a city .']
72011,2015-10-30 21:14:00,2004-05-20 00:00:00,Viewing Distance 21-100 Feet,, Obedjiwan,, Canada, 48.65804, -74.93772,,,,
72012,2015-10-30 21:25:00,2015-10-27 00:00:00,Viewing Distance Unknown,, Clinton,, United States, 47.97843, -122.35570,,"['http://www.mufoncms.com/files_jeud8334j/72012_submitter_file1__IMG0639.JPG', 'http://www.mufoncms.com/files_jeud8334j/72012_submitter_file2__IMG0638.JPG', 'http://www.mufoncms.com/files_jeud8334j/72012_submitter_file3__IMG0637.JPG']","['a person holding a skateboard in front of a window .', 'a black and white photo of a street light', 'a black and white photo of a street light']","['a person holding a skateboard in front of a window .', 'a black and white photo of a street light', 'a black and white photo of a street light']"
72013,2015-10-30 22:11:00,2015-10-30 20:15:00,Viewing Distance N/A,0 days 00:01:00.000000000, Caseyville,, United States, 38.63672, -90.02566, Triangle,,,
72014,2015-10-30 22:25:00,2015-10-26 19:30:00,"Viewing Distance Over 1 Mile, Unknown",, Huntington,, United States, 39.31540, -110.97605,,,,
72015,2015-10-30 23:45:00,2015-10-29 10:32:00,Viewing Distance 501 Feet - 1 Mile,, Chatsworth,, United States, 34.70992, -84.80596,,,,
72016,2015-10-31 00:18:00,2015-09-28 16:34:00,Viewing Distance N/A,, Los Angeles,, United States, 33.73761, -118.28927,,['http://www.mufoncms.com/files_jeud8334j/72016_submitter_file1__NibiruUFOSmall.jpg'],['a traffic light suspended over a street next to a forest .'],['a traffic light suspended over a street next to a forest .']
72017,2015-10-31 04:22:00,2015-10-30 23:13:00,Viewing Distance 101-500 Feet,, Hayward,, United States, 37.69210, -122.10724,,,,
72018,2015-10-31 04:59:00,1960-06-30 20:30:00,"Viewing Distance 21-100 Feet, 101-500 Feet",, Rushsylvania,, United States, 40.46011, -83.66903,,,,
72019,2015-10-31 05:25:00,2015-10-10 03:30:00,Viewing Distance Unknown,, Winchester,, United States, 33.73500, -117.07416,,['http://www.mufoncms.com/files_jeud8334j/72019_submitter_file2__picofliteball.jpg'],['a person is flying a kite in the sky .'],['a person is flying a kite in the sky .']
72020,2015-10-31 07:47:00,2015-09-29 22:23:00,"Viewing Distance 501 Feet - 1 Mile, Over 1 Mile",, Bakersfield,, United States, 35.42624, -119.05588,,,,
72021,2015-10-31 09:06:00,2015-10-30 19:20:00,Viewing Distance Unknown,, Dunwoody,, United States, 33.95506, -84.33065,,,,
72022,2015-10-31 09:24:00,2015-10-30 16:18:00,Viewing Distance 101-500 Feet,0 days 00:01:00.000000000, Bishops Cleeve,, 51.94595, -2.07689,, N,,,
72023,2015-10-31 11:26:00,2015-06-24 00:00:00,Viewing Distance Unknown,, Lakewood,, United States, 39.71635, -105.13352,,,,
72024,2015-10-31 11:38:00,2015-10-26 19:35:00,"Viewing Distance 101-500 Feet, 501 Feet - 1 Mile",, New Jersey,, 40.06663, -74.40059,,,,,
72025,2015-10-31 11:40:00,2015-10-30 02:30:00,Viewing Distance Unknown,0 days 02:00:00.000000000, West Haven,, United States, 41.27055, -72.94697, Triangle,,,
72026,2015-10-31 13:48:00,2015-07-14 12:09:00,Viewing Distance Unknown,, New Jersey,, 40.06785, -74.39692,,,"['http://www.mufoncms.com/files_jeud8334j/72026_submitter_file1__image.jpg', 'http://www.mufoncms.com/files_jeud8334j/72026_submitter_file2__image.jpg']","['a plane flying in the sky with a sky background', 'a bird flying in the sky with a sky background']","['a plane flying in the sky with a sky background', 'a bird flying in the sky with a sky background']"
72027,2015-10-31 14:16:00,2015-09-19 19:30:00,Viewing Distance N/A,, London,, United Kingdom, 51.50969, -0.12270,,"['http://www.mufoncms.com/files_jeud8334j/72027_submitter_file1__DSC0042.JPG', 'http://www.mufoncms.com/files_jeud8334j/72027_submitter_file2__DSC0045.JPG']","['a large clock tower towering over a city .', 'a group of people walking down a street .']","['a large clock tower towering over a city .', 'a group of people walking down a street .']"
72028,2015-10-31 14:39:00,2015-10-24 19:45:00,Viewing Distance Unknown,, California,, 36.78088, -119.41443,,,,,
72029,2015-10-31 14:52:00,2015-10-30 21:00:00,Viewing Distance Over One Mile,0 days 09:00:00.000000000, St. Maarten,,,,, Star-like,,,
72030,2015-10-31 16:52:00,2015-10-31 03:35:00,Viewing Distance 20 Feet or Less,, Cincinnati,, United States, 39.24811, -84.48121,,,,
72031,2015-10-31 17:20:00,1992-08-31 00:00:00,Viewing Distance 21-100 Feet,0 days 00:15:01.000000000, Nitra,, 48.34576, 18.06762,, Triangle,,,
72032,2015-10-31 17:45:00,2015-10-31 10:00:00,Viewing Distance Unknown,0 days 00:00:20.000000000, Minneapolis,, United States, 44.98251, -93.26140, N,,,
72033,2015-10-31 18:46:00,1984-02-15 07:10:00,Viewing Distance 101-500 Feet,0 days 00:15:00.000000000, Sawyer,, United States, 41.90262, -86.56707, Sphere,,,
72034,2015-10-31 19:43:00,2015-03-15 00:00:00,Viewing Distance N/A,, Hazel Park,, United States, 42.47201, -83.11386,,,,
72035,2015-10-31 20:31:00,2015-10-28 07:16:00,Viewing Distance Over One Mile,, Pass Christian,, United States, 30.31827, -89.24570,,"['http://www.mufoncms.com/files_jeud8334j/72035_submitter_file1__image.jpeg', 'http://www.mufoncms.com/files_jeud8334j/72035_submitter_file2__image.jpeg']","['a boat floating on top of a body of water .', 'a large body of water next to a lake .']","['a boat floating on top of a body of water .', 'a large body of water next to a lake .']"
72036,2015-10-31 20:53:00,2015-10-31 23:45:00,Viewing Distance Unknown,, Coimbra,, Portugal, 40.28242, -8.48441,,,,
72037,2015-10-31 21:11:00,2015-10-29 18:03:00,Viewing Distance Over One Mile,, Ramsey,, United States, 41.04382, -74.11552,,,,
72038,2015-10-31 23:04:00,2015-10-31 22:09:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:02:00.000000000, Blacklick,, United States, 40.02650, -82.75833, Oval,,,
72039,2015-11-01 00:15:00,2015-10-29 13:15:00,Viewing Distance Unknown,, Surrey,, Canada, 49.15026, -122.71391,,,,
72040,2015-11-01 00:19:00,2015-10-29 13:15:00,Viewing Distance Unknown,, Surrey,, Canada, 49.15353, -122.68204,,,,
72041,2015-11-01 00:38:00,2015-10-31 21:15:00,Viewing Distance Over One Mile,0 days 00:00:10.000000000, Phoenix,, United States, 33.45531, -112.06674, Triangle,,,
72042,2015-11-01 00:40:00,2015-10-12 07:38:00,"Viewing Distance Over 1 Mile, Unknown",, BrunsbÃ¼ttel,, Germany, 53.89889, 9.13389,,,,
72043,2015-11-01 01:09:00,2004-06-10 02:02:00,Viewing Distance 20 Feet or Less,0 days 03:30:05.000000000, Bensenville,, United States, 41.95249, -87.92272, Other,,,
72044,2015-11-01 01:21:00,2015-10-31 20:07:00,Viewing Distance Over One Mile,0 days 00:00:08.000000000, Otsego,, United States, 45.29748, -93.58168, Sphere,,,
72045,2015-11-01 01:52:00,2015-10-31 21:43:00,Viewing Distance N/A,, Germiston,, South Africa, -26.15834, 28.11976,,"['http://www.mufoncms.com/files_jeud8334j/72045_submitter_file1__IMG20151031WA0009.jpg', 'http://www.mufoncms.com/files_jeud8334j/72045_submitter_file2__IMG20151031WA0008.jpg', 'http://www.mufoncms.com/files_jeud8334j/72045_submitter_file3__IMG20151031WA0007.jpg']","['a person flying a kite in the sky .', 'a large building with a clock tower on top of it .', 'a traffic light with a street sign on it .']","['a person flying a kite in the sky .', 'a large building with a clock tower on top of it .', 'a traffic light with a street sign on it .']"
72046,2015-11-01 01:38:00,2015-10-31 20:43:00,Viewing Distance Unknown,, Lake Wales,, United States, 27.82636, -81.59157,,,,
72047,2015-11-01 02:37:00,1963-07-01 22:00:00,Viewing Distance 101-500 Feet,0 days 00:01:00.000000000, Minneapolis,, United States, 45.01023, -93.21557, Boomerang,,,
72048,2015-11-01 02:43:00,2015-11-01 00:00:00,Viewing Distance Unknown,, Surprise,, United States, 33.62923, -112.36793,,,,
72049,2015-11-01 03:49:00,2015-10-02 00:00:00,Viewing Distance 101-500 Feet,, Robbinsville,, United States, 35.32287, -83.80740,,,,
72050,2015-11-01 08:09:00,1965-09-01 00:00:00,Viewing Distance 101-500 Feet,, Michigan,, 44.31963, -85.59678,,,,,
72051,2015-11-01 08:17:00,2015-11-01 00:00:00,Viewing Distance Unknown,0 days 00:02:00.000000000, Blacklick,, United States, 40.01502, -82.78504, Unknown,,,
72052,2015-11-01 08:51:00,2015-10-17 19:36:00,Viewing Distance Unknown,, Levittown,, United States, 40.13866, -74.80553,,,,
72053,2015-11-01 11:31:00,2015-10-31 20:20:00,Viewing Distance Unknown,0 days 00:00:30.000000000, Wisconsin Rapids,, United States, 44.30950, -89.79792, Circle,,,
72054,2015-11-01 11:45:00,2010-09-06 15:09:00,Viewing Distance Unknown,, Alamo,, United States, 37.63886, -115.74715,,['http://www.mufoncms.com/files_jeud8334j/72054_submitter_file1__DSC00839.JPG'],['a traffic light on a road near a road'],['a traffic light on a road near a road']
72055,2015-11-01 12:27:00,2015-06-07 10:00:00,Viewing Distance Over One Mile,, Danbury,, United States, 41.39584, -73.45400,,,,
72057,2015-11-01 13:08:00,2015-08-19 20:22:00,Viewing Distance Unknown,, Maple Shade Township,, United States, 39.95261, -74.99239,,,,
72058,2015-11-01 13:32:00,2015-08-02 21:31:00,Viewing Distance 21-100 Feet,, Corpus Christi,, United States, 27.59762, -97.22258,,,,
72059,2015-11-01 13:40:00,2015-10-30 22:30:00,"Viewing Distance 501 Feet - 1 Mile, Over 1 Mile",, Toronto,, Canada, 43.77517, -79.29412,,,,
72060,2015-11-01 14:33:00,2011-05-31 12:01:00,Viewing Distance N/A,, Caerwent,, 51.59436, -2.75524,,,['http://www.mufoncms.com/files_jeud8334j/72060_submitter_file1__caerwentmap.jpg'],['a car driving down a road next to a traffic light .'],['a car driving down a road next to a traffic light .']
72061,2015-11-01 15:30:00,2015-10-31 00:00:00,Viewing Distance Unknown,0 days 00:02:00.000000000, Edmonton,, Canada, 53.62063, -113.52162, Oval,"['http://www.mufoncms.com/files_jeud8334j/72061_submitter_file1__UFO.png', 'http://www.mufoncms.com/files_jeud8334j/72061_submitter_file2__UFO2.png']","['a bunch of kites that are in the air .', 'a picture of a man in a suit and tie .']","['a bunch of kites that are in the air .', 'a picture of a man in a suit and tie .']"
72062,2015-11-01 15:45:00,2015-10-29 20:00:00,Viewing Distance 501 Feet - 1 Mile,, Florence,, United States, 34.80529, -87.67354,,,,
72063,2015-11-01 17:31:00,2015-10-31 21:56:00,Viewing Distance Unknown,0 days 00:02:00.000000000, Nebraska,, 41.49974, -99.89389,, Fireball,,,
72064,2015-11-01 19:41:00,2015-11-01 18:07:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:01:30.000000000, Lake Saint Louis,, United States, 38.78094, -90.78836, Other,,,
72065,2015-11-01 20:17:00,2015-09-15 19:15:00,Viewing Distance Unknown,, Tiverton,, United States, 41.63512, -71.21206,,,,
72066,2015-11-01 20:58:00,2015-10-24 19:15:00,Viewing Distance Unknown,, Brinklow,, United States, 39.20078, -77.03071,,,,
72067,2015-11-01 21:17:00,2009-07-31 00:00:00,Viewing Distance Over One Mile,, Tampa,, United States, 27.99454, -82.47551,,,,
72068,2015-11-01 21:26:00,2015-11-01 18:00:00,Viewing Distance Over One Mile,, Commerce City,, United States, 39.81472, -104.92407,,,,
72069,2015-11-01 22:19:00,2015-11-01 18:15:00,Viewing Distance 101-500 Feet,, Lakewood,, US,,,,,,
72070,2015-11-01 22:27:00,2015-11-01 19:30:00,Viewing Distance Unknown,0 days 00:10:00.000000000, Pueblo,, United States, 38.30065, -104.74163, Star-like,,,
72071,2015-11-01 22:43:00,2015-10-28 00:00:00,Viewing Distance Over One Mile,, Dallas,, United States, 32.83147, -96.70545,,,,
72072,2015-11-01 23:50:00,2015-11-01 17:15:00,"Viewing Distance 101-500 Feet, 501 Feet - 1 Mile",, Littleton,, United States, 42.56467, -71.48216,,,,
72073,2015-11-01 23:53:00,2015-11-01 18:17:00,Viewing Distance 501 Feet - 1 Mile,, Denver,, United States, 39.78051, -105.04627,,,,
72074,2015-11-02 00:00:00,2015-11-01 20:25:00,Viewing Distance Unknown,0 days 00:00:10.000000000, Bellingham,, United States, 48.74908, -122.47815, Sphere,,,
72075,2015-11-02 01:28:00,2015-11-01 18:30:00,Viewing Distance 101-500 Feet,, Los Angeles,, United States, 34.19460, -118.54674,,,,
72076,2015-11-02 03:33:00,2003-02-28 00:00:00,Viewing Distance 20 Feet or Less,, Spivey,, United States, 37.44585, -98.16340,,,,
72077,2015-11-02 05:18:00,2015-11-02 01:55:00,Viewing Distance Unknown,, Fresno,, United States, 36.74893, -119.76295,,,,
72078,2015-11-02 05:47:00,2012-10-31 00:00:00,Viewing Distance Unknown,, Edmonton,, Canada, 53.63718, -113.54384,,,,
72079,2015-11-02 07:45:00,2015-10-29 00:00:00,Viewing Distance 21-100 Feet,, Bishop's Stortford,, 51.84731, 0.17690,,,,,
72080,2015-11-02 08:22:00,2015-10-26 04:13:00,Viewing Distance Unknown,, Milford,, United States, 41.20111, -73.06462,,"['http://www.mufoncms.com/files_jeud8334j/72080_submitter_file1__objectaround4am.jpg', 'http://www.mufoncms.com/files_jeud8334j/72080_submitter_file2__objectblownup.jpg', 'http://www.mufoncms.com/files_jeud8334j/72080_submitter_file4__picturewithredlight.jpg', 'http://www.mufoncms.com/files_jeud8334j/72080_submitter_file5__pictureearlymormimg.jpg', 'http://www.mufoncms.com/files_jeud8334j/72080_submitter_file6__pictureearlymorningshowingtrail.jpg', 'http://www.mufoncms.com/files_jeud8334j/72080_submitter_file7__picturemovingnorth.jpg']","['a black and white photo of a clock tower .', 'a blue and white kite flying in a blue sky .', 'a group of birds flying in the sky .', 'a kite flying in a cloudy blue sky .', 'a blue and white airplane flying in the sky .', 'a red and white kite flying in the sky']","['a black and white photo of a clock tower .', 'a blue and white kite flying in a blue sky .', 'a group of birds flying in the sky .', 'a kite flying in a cloudy blue sky .', 'a blue and white airplane flying in the sky .', 'a red and white kite flying in the sky']"
72081,2015-11-02 08:31:00,2015-11-01 23:25:00,Viewing Distance Unknown,, Hartford,, United States, 43.62303, -96.94256,,['http://www.mufoncms.com/files_jeud8334j/72081_submitter_file1__image.jpg'],['a traffic light suspended over a city street .'],['a traffic light suspended over a city street .']
72082,2015-11-02 09:06:00,2015-11-01 00:00:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:01:18.000000000, Munford,, United States, 35.45744, -89.81397, Disc,,,
72083,2015-11-02 09:42:00,2015-10-13 03:30:00,Viewing Distance Unknown,0 days 03:40:00.000000000, Pueblo,, United States, 38.34048, -104.84395, Boomerang,,,
72084,2015-11-02 11:53:00,2015-10-31 17:50:00,Viewing Distance 501 Feet - 1 Mile,, Front Royal,, United States, 38.92671, -78.18924,,['http://www.mufoncms.com/files_jeud8334j/72084_submitter_file1__image.jpg'],['a group of people sitting on a bench .'],['a group of people sitting on a bench .']
72085,2015-11-02 12:20:00,2015-10-22 11:18:00,"Viewing Distance 101-500 Feet, Unknown",, Phelan,, United States, 34.44427, -117.61419,,,,
72086,2015-11-02 14:02:00,2015-10-30 11:29:00,Viewing Distance Unknown,, Merida,, Mexico, 20.96737, -89.59259,,,,
72087,2015-11-02 14:45:00,2015-10-24 19:00:00,Viewing Distance 101-500 Feet,, Groton,, United States, 41.34659, -72.03697,,,,
72089,2015-11-02 17:48:00,2015-11-02 16:20:00,Viewing Distance Unknown,, Cleveland Heights,, United States, 41.52335, -81.55361,,,,
72090,2015-11-02 18:44:00,2011-01-10 00:00:00,Viewing Distance 501 Feet - 1 Mile,, Las Terrenas,, Dominican Republic, 19.29930, -69.55592,,['http://www.mufoncms.com/files_jeud8334j/72090_submitter_file1__twoobject.jpg'],['a black and white photo of a stop sign .'],['a black and white photo of a stop sign .']
72091,2015-11-02 19:06:00,2015-09-30 21:15:00,Viewing Distance Unknown,, Channelview,, United States, 29.76887, -95.16867,,,,
72092,2015-11-02 19:07:00,2015-10-19 04:00:00,Viewing Distance 21-100 Feet,, Deville,, United States, 31.28953, -92.14890,,,,
72093,2015-11-02 19:27:00,2015-11-02 18:30:00,Viewing Distance Over One Mile,, Willoughby,, United States, 41.64375, -81.40176,,,,
72094,2015-11-02 20:11:00,2015-10-22 21:30:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:05:00.000000000, London,, United States, 37.12898, -84.08326, Triangle,,,
72095,2015-11-02 20:12:00,2015-11-02 19:15:00,Viewing Distance Over One Mile,0 days 00:10:00.000000000, Meriden,, United States, 41.54115, -72.77939, Circle,,,
72096,2015-11-02 20:46:00,2015-11-01 01:28:00,Viewing Distance Unknown,, Carroll,, United States, 42.07266, -94.87199,,,,
72097,2015-11-02 20:46:00,2015-11-01 00:00:00,Viewing Distance Over One Mile,, New York,, United States, 40.71402, -73.99965,,,,
72098,2015-11-02 22:06:00,2015-08-07 23:30:00,Viewing Distance Unknown,0 days 00:02:00.000000000, Gwinn,, United States, 46.28106, -87.44097, Sphere,,,
72099,2015-11-02 22:47:00,2015-11-02 19:30:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:00:10.000000000, Littleton,, United States, 39.60325, -104.99942, Triangle,,,
72100,2015-11-02 22:54:00,2015-10-28 04:34:00,Viewing Distance 20 Feet or Less,, Woodsfield,, United States, 39.66518, -81.08110,,,,
72101,2015-11-02 23:06:00,2015-10-29 21:30:00,Viewing Distance Unknown,, Cornwall,, Canada, 45.02563, -74.72235,,,,
72102,2015-11-03 00:01:00,2015-11-02 18:30:00,Viewing Distance Unknown,, Gassville,, United States, 36.28492, -92.46719,,,,
72103,2015-11-03 00:37:00,1974-06-30 00:00:00,"Viewing Distance 101-500 Feet, Over 1 Mile",, Tremonton,, United States, 41.74312, -112.14990,,,,
72104,2015-11-03 00:53:00,2015-11-02 17:15:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:00:20.000000000, Saugatuck,, United States, 42.66350, -86.19278, Egg,,,
72105,2015-11-03 02:32:00,2015-11-03 01:35:00,Viewing Distance 101-500 Feet,, New York,, United States, 40.72204, -74.00366,,,,
72106,2015-11-03 04:20:00,2015-11-03 03:15:00,Viewing Distance 501 Feet - 1 Mile,, Mount Sterling,, United States, 39.64713, -83.31400,,,,
72107,2015-11-03 06:41:00,2015-11-02 00:00:00,Viewing Distance Unknown,, Kokomo,, United States, 40.52080, -86.10522,,,,
72109,2015-11-03 09:31:00,2010-05-10 00:00:00,Viewing Distance Unknown,, Jonava,, Lithuania, 55.07251, 24.26344,,,,
72111,2015-11-03 10:00:00,2013-06-10 20:12:00,"Viewing Distance 21-100 Feet, 101-500 Feet, Unknown",0 days 00:05:00.000000000, Prairie Grove,, United States, 35.94573, -94.35460, Other,,,
