,reported_on,sighted_on,description,duration,municipality,state,country,latitude,longitude,shape,url,caption,object
47704,2013-05-28 23:09:00,2013-05-28 15:33:00,Viewing Distance 501 Feet - 1 Mile,, Flushing,, United States, 40.74973, -73.80618,,,,
47705,2013-05-28 23:20:00,2011-12-19 02:00:00,Viewing Distance 21-100 Feet,0 days 03:00:00.000000000, Boise,, United States, 43.59190, -116.21463, Cigar,,,
47706,2013-05-28 23:23:00,2013-05-24 07:00:00,Viewing Distance Unknown,, Santee,, United States, 32.84417, -116.96578,,,,
47707,2013-05-29 00:16:00,2013-05-27 02:30:00,Viewing Distance Unknown,0 days 00:00:15.000000000, Webster,, United States, 43.25773, -77.38667, Bullet,,,
47708,2013-05-29 00:16:00,1995-08-15 07:00:00,Viewing Distance 21-100 Feet,, Alexandria,, United States, 38.80635, -77.04234,,,,
47709,2013-05-29 00:48:00,2013-01-21 06:00:00,Viewing Distance 501 Feet - 1 Mile,0 days 02:00:00.000000000, Galt,, United States, 38.24282, -121.29396, Circle,,,
47710,2013-05-29 01:13:00,2012-11-10 03:30:00,Viewing Distance N/A,0 days 00:15:00.000000000, St. Charles,, United States, 38.79448, -90.50968, Disc,,,
47711,2013-05-29 02:05:00,2000-01-01 08:00:00,Viewing Distance Over One Mile,0 days 04:00:00.000000000, Mount Orab,, United States, 39.12043, -83.91076, Sphere,,,
47712,2013-05-29 02:07:00,2013-05-28 03:20:00,Viewing Distance Unknown,, Birmingham,, United States, 33.52232, -86.79682,,,,
47713,2013-05-29 02:18:00,2013-05-28 03:30:00,Viewing Distance 501 Feet - 1 Mile,, Phoenix,, United States, 33.51848, -112.10832,,,,
47714,2013-05-29 02:21:00,2013-05-26 07:00:00,Viewing Distance 501 Feet - 1 Mile,0 days 12:58:03.000000000, Berkeley Springs,, United States, 39.61427, -78.19106, Cigar,,,
47715,2013-05-29 03:37:00,2013-05-27 22:20:00,Viewing Distance Unknown,0 days 00:05:00.000000000, Flowery Branch,, United States, 34.18867, -83.91868, Triangle,,,
47716,2013-05-29 09:14:00,2013-05-29 05:15:00,Viewing Distance Over One Mile,0 days 00:03:30.000000000, Gilroy,, United States, 37.01434, -121.56698, Sphere,,,
47717,2013-05-29 12:45:00,2013-05-28 20:00:00,"Viewing Distance 101-500 Feet, 501 Feet - 1 Mile, Over 1 Mile, Unknown",0 days 01:00:00.000000000, Lafayette,, United States, 30.19632, -92.03090, Blimp,,,
47718,2013-05-29 16:49:00,2013-05-17 07:00:00,Viewing Distance Unknown,, Florida,, 27.66892, -81.50919,,,,,
47719,2013-05-29 17:21:00,2013-05-29 05:15:00,Viewing Distance 20 Feet or Less,0 days 00:18:00.000000000, Athens,, United States, 39.37037, -82.14693, Circle,,,
47720,2013-05-29 20:10:00,2013-05-26 03:30:00,Viewing Distance Unknown,, Edon,, United States, 41.55644, -84.76885,,,,
47721,2013-05-29 21:07:00,2013-05-27 07:00:00,Viewing Distance 20 Feet or Less,, Albuquerque,, United States, 35.11255, -106.60558,,,,
47722,2013-05-30 00:30:00,2013-05-26 04:54:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:00:45.000000000, Scottsdale,, United States, 33.61603, -111.89263, Cigar,,,
47723,2013-05-30 01:24:00,1990-07-01 07:00:00,Viewing Distance 20 Feet or Less,0 days 00:45:00.000000000, Hagerstown,, United States, 39.65588, -77.75187, Circle,,,
47724,2013-05-30 03:41:00,2013-05-26 11:15:00,Viewing Distance 501 Feet - 1 Mile,, Wall Township,, United States, 40.19246, -74.07436,,,,
47725,2013-05-30 05:14:00,1967-04-09 07:00:00,Viewing Distance Unknown,0 days 03:00:00.000000000, Finegold,, United States, 36.78388, -119.40854, Star-like,,,
47726,2013-05-30 05:28:00,2013-05-27 07:00:00,"Viewing Distance 101-500 Feet, 501 Feet - 1 Mile, Over 1 Mile",, New Jersey,, 40.06579, -74.40322,,,,,
47727,2013-05-30 06:51:00,2012-10-29 01:45:00,Viewing Distance Over One Mile,0 days 00:06:00.000000000, Las Cruces,, United States, 32.32534, -106.75448, Circle,,,
47728,2013-05-30 07:29:00,2013-05-05 02:00:00,Viewing Distance Unknown,0 days 01:00:00.000000000, Kingston,, United States, 41.98292, -70.73106, Cigar,,,
47729,2013-05-30 07:43:00,2012-12-22 03:00:00,Viewing Distance Unknown,, Las Cruces,, United States, 32.31127, -106.77902,,,,
47730,2013-05-30 10:21:00,1978-06-22 07:00:00,Viewing Distance Unknown,, Kansas,, 39.01953, -98.47592,,,,,
47731,2013-05-30 11:38:00,2012-09-03 06:45:00,Viewing Distance 101-500 Feet,, Philadelphia,, United States, 39.98231, -75.17377,,,,
47732,2013-05-30 11:43:00,2013-05-14 04:30:00,Viewing Distance 101-500 Feet,, Punta Gorda,, United States, 26.93498, -82.03737,,,,
47733,2013-05-30 12:10:00,2013-05-30 05:00:00,Viewing Distance Over One Mile,0 days 00:00:30.000000000, Mission Viejo,, United States, 33.58937, -117.67837, Flash,,,
47734,2013-05-30 13:53:00,2013-04-03 12:15:00,Viewing Distance 101-500 Feet,, Lakeville,, United States, 44.65691, -93.23742,,,,
47736,2013-05-30 18:25:00,2013-05-24 23:30:00,Viewing Distance 101-500 Feet,, Chiangmai northern of Tha,, 16.45328, 99.89517,,,,,
47737,2013-05-30 20:39:00,2013-05-26 09:00:00,Viewing Distance Unknown,, Kennett,, United States, 36.27124, -90.02104,,,,
47738,2013-05-30 22:09:00,2013-05-15 09:00:00,Viewing Distance 21-100 Feet,0 days 02:00:01.000000000, Cedar Park,, United States, 30.50862, -97.81739, Cigar,,,
47740,2013-05-30 23:48:00,2013-05-29 06:10:00,Viewing Distance Unknown,, Phillipsburg,, United States, 39.77077, -99.33387,,,,
47741,2013-05-31 00:15:00,2013-05-25 07:00:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:40:00.000000000, Belfair,, United States, 47.45428, -122.82357, Sphere,,,
47742,2013-05-31 00:37:00,2013-05-21 03:30:00,"Viewing Distance Over 1 Mile, Unknown",, Lawtell,, United States, 30.54387, -92.19649,,,,
47743,2013-05-31 02:00:00,2013-05-25 04:00:00,Viewing Distance Over One Mile,, Rogersville,, United States, 34.85899, -87.20867,,,,
47744,2013-05-31 02:22:00,2001-09-02 07:00:00,Viewing Distance 101-500 Feet,0 days 00:00:30.000000000, Yucca,, United States, 34.62434, -113.97058, Unknown,,,
47745,2013-05-31 02:28:00,2013-04-04 04:30:00,Viewing Distance 501 Feet - 1 Mile,, Sandusky,, United States, 41.45231, -82.70176,,,,
47746,2013-05-31 03:04:00,2013-05-30 04:30:00,Viewing Distance Over One Mile,, Fernley,, United States, 39.60899, -119.24957,,,,
47747,2013-05-31 05:47:00,2013-05-30 16:56:00,Viewing Distance Over One Mile,0 days 00:00:30.000000000, Kintnersville,, United States, 40.51328, -75.20466, Blimp,,,
47748,2013-05-31 05:59:00,2012-12-20 08:00:00,Viewing Distance 101-500 Feet,, LaGrange,, United States, 41.25890, -82.16428,,,,
47749,2013-05-31 06:26:00,2013-05-30 07:00:00,Viewing Distance 501 Feet - 1 Mile,, Greenlawn,, United States, 40.86470, -73.36573,,,,
47750,2013-05-31 06:33:00,2013-05-31 06:10:00,Viewing Distance 501 Feet - 1 Mile,, Brooklyn,, United States, 39.53921, -86.36916,,,,
47751,2013-05-31 07:24:00,2013-05-19 06:00:00,Viewing Distance 21-100 Feet,0 days 00:02:00.000000000, Cloverdale,, United States, 39.51637, -86.78502, Diamond,,,
